frame_nmr,track_id,plate_bbox,det_conf,license_number,license_number_score,ocr_conf,vehicle_type,layout,raw_ocr
98,1,"206,389,332,479",0.924912,29-Y1 125.25,9.457648,0.903059,motorbike,2,29-Y1|L25.25
99,1,"202,390,327,479",0.925856,,0.0,0.0,,0,
100,1,"194,391,321,479",0.925274,29-Y1 425.75,9.629576,0.85183,motorbike,2,29-Y1|42575
101,1,"186,389,315,480",0.923101,,0.0,0.0,,0,
102,1,"179,387,308,481",0.92227,23-Y1 425.75,9.844794,0.937918,motorbike,2,23-Y1|425.75
103,1,"173,389,301,479",0.925813,,0.0,0.0,,0,
104,1,"164,389,293,480",0.921916,25-T1 425.75,9.333565,0.733426,motorbike,2,25T1|42575
105,1,"156,388,286,482",0.925192,,0.0,0.0,,0,
106,1,"148,388,278,483",0.925179,29-Y1 425.25,9.757038,0.902815,motorbike,2,29Y1|425.25
107,1,"140,389,271,482",0.924999,,0.0,0.0,,0,
108,1,"136,389,265,481",0.923982,29-Y1 425.25,9.646127,0.858451,motorbike,2,29Y1|42525
109,1,"128,388,258,480",0.922769,,0.0,0.0,,0,
110,1,"118,384,251,481",0.921239,29-T1 252.54,7.88647,0.754588,motorbike,2,29-T1|1425.254
111,1,"110,382,247,481",0.919155,,0.0,0.0,,0,
112,1,"103,378,240,478",0.921546,29M-425.75,9.299755,0.719902,car,2,29.M|425.75
113,1,"101,380,233,472",0.917785,,0.0,0.0,,0,
114,1,"94,373,229,472",0.919582,29-T1 425.75,9.39399,0.757596,motorbike,2,29T1|42575
115,1,"91,373,223,467",0.930408,,0.0,0.0,,0,
115,2,"439,432,480,518",0.824542,,0.0,0.0,,0,
116,1,"86,370,219,465",0.925746,29T-425.25,9.469625,0.78785,car,2,29T|425.25
116,2,"436,429,480,516",0.8646,,0.0,0.0,,0,
117,1,"81,367,215,463",0.921967,,0.0,0.0,,0,
117,2,"433,426,480,515",0.878463,,0.0,0.0,,0,
118,1,"74,364,212,461",0.922462,29T-425.75,9.798952,0.919581,car,2,29T|425.75
118,2,"430,423,480,516",0.889949,,0.0,0.0,,0,
119,1,"71,362,208,461",0.924066,,0.0,0.0,,0,
119,2,"425,421,480,517",0.90483,,0.0,0.0,,0,
120,1,"68,361,205,458",0.921343,29-Y3 425.25,9.741348,0.896539,motorbike,2,29-Y3-|42525
120,2,"423,421,480,514",0.915377,,0.0,0.0,,0,
121,1,"64,357,201,459",0.924103,,0.0,0.0,,0,
121,2,"419,421,480,514",0.915566,,0.0,0.0,,0,
122,1,"62,358,198,456",0.921992,29-Y1 425.75,9.785959,0.914383,motorbike,2,29-Y1|425.75
122,2,"417,420,479,514",0.916773,,0.0,0.0,,0,
123,1,"57,357,194,457",0.928688,,0.0,0.0,,0,
123,2,"415,422,479,514",0.91617,,0.0,0.0,,0,
124,1,"51,356,192,460",0.930191,29-Y1 425.75,8.694315,0.477726,motorbike,2,29-Y1|425.75
124,2,"412,422,479,513",0.919517,,0.0,0.0,,0,
125,1,"50,357,187,457",0.928716,,0.0,0.0,,0,
125,2,"409,422,479,516",0.917867,,0.0,0.0,,0,
126,1,"45,355,183,459",0.93053,29-Y1 425.75,9.96594,0.986376,motorbike,2,29-Y1|425.75
126,2,"407,420,480,517",0.920709,,0.0,0.0,,0,
127,1,"42,356,181,460",0.927422,,0.0,0.0,,0,
127,2,"403,422,480,515",0.918837,,0.0,0.0,,0,
128,1,"38,357,176,457",0.926829,29-T1 425.75,9.265438,0.706175,motorbike,2,29-T1|425.75
128,2,"400,420,480,517",0.918888,89S-1348,6.531041,0.532417,car,2,895|1348
129,1,"33,358,172,456",0.926869,,0.0,0.0,,0,
129,2,"398,422,480,515",0.921915,,0.0,0.0,,0,
130,1,"28,357,167,457",0.925851,29-T1 425.25,9.037876,0.61515,motorbike,2,29-T1|425.25
130,2,"394,422,479,514",0.922298,89E-331.37,8.894791,0.677917,car,2,89-E|33L37
131,2,"390,421,479,515",0.921407,,0.0,0.0,,0,
131,1,"21,357,163,456",0.920811,,0.0,0.0,,0,
132,1,"10,357,156,457",0.92423,29-Y1 425.75,9.218673,0.687469,motorbike,2,29Y1|425.75
132,2,"384,420,479,517",0.923332,89B-134.92,9.452327,0.900931,car,2,89-8|13492
133,2,"379,419,479,517",0.923111,,0.0,0.0,,0,
133,1,"3,355,147,456",0.922812,,0.0,0.0,,0,
134,2,"371,418,478,516",0.925831,89-B1 345.25,9.134786,0.773914,motorbike,2,89-81|34525
134,1,"3,359,141,456",0.91809,,0.0,0.0,,0,
135,2,"363,417,479,517",0.925927,,0.0,0.0,,0,
135,1,"4,359,133,456",0.923377,,0.0,0.0,,0,
136,2,"353,416,478,516",0.92119,,0.0,0.0,,0,
136,1,"1,355,123,456",0.91715,,0.0,0.0,,0,
137,2,"345,416,476,515",0.930359,,0.0,0.0,,0,
137,1,"2,354,114,456",0.921992,,0.0,0.0,,0,
138,2,"336,414,471,514",0.926998,31M-432.58,5.560702,0.304281,car,2,3531M|243258
138,1,"1,352,105,455",0.904017,,0.0,0.0,,0,
139,2,"328,411,464,513",0.93131,,0.0,0.0,,0,
139,1,"3,351,93,454",0.901889,,0.0,0.0,,0,
140,2,"320,410,453,511",0.933877,,0.0,0.0,,0,
140,1,"2,350,79,454",0.886475,,0.0,0.0,,0,
